Energy_eV,Gd_0.1pct_Sigma_total_cm-1,Gd_0.1pct_Sigma_dopant_cm-1,Gd_0.3pct_Sigma_total_cm-1,Gd_0.3pct_Sigma_dopant_cm-1,Gd_0.5pct_Sigma_total_cm-1,Gd_0.5pct_Sigma_dopant_cm-1,B_0.1pct_Sigma_total_cm-1,B_0.1pct_Sigma_dopant_cm-1,B_0.3pct_Sigma_total_cm-1,B_0.3pct_Sigma_dopant_cm-1,B_0.5pct_Sigma_total_cm-1,B_0.5pct_Sigma_dopant_cm-1,Li_0.1pct_Sigma_total_cm-1,Li_0.1pct_Sigma_dopant_cm-1,Li_0.3pct_Sigma_total_cm-1,Li_0.3pct_Sigma_dopant_cm-1,Li_0.5pct_Sigma_total_cm-1,Li_0.5pct_Sigma_dopant_cm-1
2.373390e-05,5.403827e+00,4.679848e+00,1.476207e+01,1.403954e+01,2.412032e+01,2.339924e+01,7.942238e+00,7.218259e+00,2.237731e+01,2.165478e+01,3.681237e+01,3.609129e+01,3.615320e+00,2.891341e+00,9.396553e+00,8.674023e+00,1.517779e+01,1.445671e+01
2.407258e-05,5.365699e+00,4.646831e+00,1.465792e+01,1.394049e+01,2.395015e+01,2.323416e+01,7.886140e+00,7.167272e+00,2.221924e+01,2.150182e+01,3.655235e+01,3.583636e+01,3.589786e+00,2.870918e+00,9.330183e+00,8.612754e+00,1.507058e+01,1.435459e+01
2.441610e-05,5.328110e+00,4.614317e+00,1.455531e+01,1.384295e+01,2.378252e+01,2.307158e+01,7.830078e+00,7.116285e+00,2.206122e+01,2.134885e+01,3.629236e+01,3.558142e+01,3.564288e+00,2.850495e+00,9.263850e+00,8.551486e+00,1.496341e+01,1.425248e+01
2.476452e-05,5.290557e+00,4.581803e+00,1.445275e+01,1.374541e+01,2.361493e+01,2.290902e+01,7.774051e+00,7.065297e+00,2.190323e+01,2.119589e+01,3.603240e+01,3.532649e+01,3.538826e+00,2.830072e+00,9.197552e+00,8.490217e+00,1.485628e+01,1.415036e+01
2.511791e-05,5.253040e+00,4.549290e+00,1.435021e+01,1.364787e+01,2.344738e+01,2.274645e+01,7.718061e+00,7.014310e+00,2.174527e+01,2.104293e+01,3.577248e+01,3.507155e+01,3.513400e+00,2.809649e+00,9.131289e+00,8.428948e+00,1.474918e+01,1.404825e+01
2.547634e-05,5.215667e+00,4.516884e+00,1.424804e+01,1.355065e+01,2.328041e+01,2.258442e+01,7.664003e+00,6.965221e+00,2.159305e+01,2.089566e+01,3.552209e+01,3.482610e+01,3.488767e+00,2.789985e+00,9.067337e+00,8.369954e+00,1.464591e+01,1.394992e+01
2.583989e-05,5.179194e+00,4.485344e+00,1.414849e+01,1.345603e+01,2.311779e+01,2.242672e+01,7.610113e+00,6.916264e+00,2.144125e+01,2.074879e+01,3.527239e+01,3.458132e+01,3.464224e+00,2.770375e+00,9.003584e+00,8.311124e+00,1.454294e+01,1.385187e+01
2.620863e-05,5.142755e+00,4.453804e+00,1.404898e+01,1.336141e+01,2.295521e+01,2.226902e+01,7.556257e+00,6.867306e+00,2.128949e+01,2.060192e+01,3.502272e+01,3.433653e+01,3.439716e+00,2.750765e+00,8.939866e+00,8.252295e+00,1.444002e+01,1.375382e+01
2.658262e-05,5.106352e+00,4.422264e+00,1.394951e+01,1.326679e+01,2.279267e+01,2.211132e+01,7.502442e+00,6.818355e+00,2.113778e+01,2.045507e+01,3.477312e+01,3.409178e+01,3.415243e+00,2.731156e+00,8.876186e+00,8.193468e+00,1.433713e+01,1.365578e+01
2.696196e-05,5.069982e+00,4.390724e+00,1.385007e+01,1.317217e+01,2.263016e+01,2.195362e+01,7.450255e+00,6.770997e+00,2.099089e+01,2.031299e+01,3.453152e+01,3.385498e+01,3.391445e+00,2.712187e+00,8.814458e+00,8.136560e+00,1.423747e+01,1.356093e+01
